timestamp,open,high,low,close,volume,trade_count,vwap,weekly change,monthly change,yearly change,relative_vol,rsi
2022-08-30 04:00:00+00:00,5.75,5.75,5.53,5.6,848694,6860,5.599439,-0.0017825311942960553,-0.022687609075043746,,0.378694983984871,47.69641781242546
2022-08-31 04:00:00+00:00,5.61,5.65,5.36,5.48,1539143,10146,5.480169,-0.05354058721934363,-0.06003430531732412,,0.6867796093002029,45.21736434709499
2022-09-01 04:00:00+00:00,5.38,5.39,4.81,5.05,3349026,20582,5.003933,-0.16390728476821192,-0.13379073756432247,,1.4943658697185518,37.663159280758684
2022-09-02 04:00:00+00:00,5.09,5.18,4.9393,5.01,1875230,16090,5.062559,-0.12412587412587417,-0.14795918367346939,,0.8367446863274038,37.04319287399353
2022-09-06 04:00:00+00:00,4.98,5.25,4.98,5.19,2093614,16171,5.15607,-0.08303886925795045,-0.10977701543739271,,0.9341896139250445,41.694332523711786
2022-09-07 04:00:00+00:00,5.2,5.43,5.2,5.39,1498418,11442,5.356782,-0.03749999999999998,-0.09866220735785969,,0.6686077437953402,46.429993038211045
2022-09-08 04:00:00+00:00,5.27,5.49,5.175,5.21,1764232,12737,5.285179,-0.04927007299270081,-0.14168039538714994,,0.7872163688980917,43.041660687088104
2022-09-09 04:00:00+00:00,5.22,5.495,5.21,5.36,1599037,14788,5.361709,0.06138613861386144,-0.1021775544388609,,0.7135048569993616,46.542706457423755
2022-09-12 04:00:00+00:00,5.4,5.53,5.37,5.42,2587995,19491,5.509222,0.08183632734530932,-0.130016051364366,,1.1547869138675733,47.92163724144157
2022-09-13 04:00:00+00:00,5.82,6.44,5.8,6.15,7870223,50152,6.177987,0.18497109826589586,-0.0016233766233766378,,3.51176510372686,61.076892935875605
2022-09-14 04:00:00+00:00,6.15,7.12,6.14,7.1,9746308,40781,6.921393,0.31725417439703163,0.09737248840803714,,4.348891298832819,71.25366214137023
2022-09-15 04:00:00+00:00,6.95,7.515,6.66,7.21,8655905,40459,7.247172,0.3838771593090211,0.16103059581320456,,3.8623435600458644,72.16128489403422
